2.37 -2.60 -1.45 0.5 -0.62 0.68 0.38 0.64 -0.70 0.33 0 1
-1.67 -1.01 -2.62 0.5 0.51 0.31 0.80 0.82 -0.20 0.54 0 0
1.71 2.89 1.46 0.5 -0.47 -0.79 -0.40 0.17 -0.65 0.74 0 1
-0.76 -1.70 -2.62 0.5 0.24 0.53 0.82 -0.31 0.37 -0.88 0 0
3.21 -1.55 -1.42 0.5 -0.84 0.40 0.37 -0.67 0.06 0.74 0 0
-2.42 -1.36 1.03 0.5 0.82 0.46 -0.35 0.45 0.80 0.39 0 0
1.54 0.26 0.26 0.5 -0.97 -0.16 -0.16 -0.25 0.96 0.09 0 0
-0.13 -0.60 -1.31 0.5 0.09 0.41 0.91 0.05 -0.77 -0.63 0 0
-0.93 0.33 -1.61 0.5 0.49 -0.18 0.85 0.29 0.58 -0.76 0 1
0.07 -2.36 2.46 0.5 -0.02 0.69 -0.72 0.56 -0.60 -0.57 0 1
0.80 1.34 2.84 0.5 -0.25 -0.41 -0.88 -0.34 -0.57 -0.74 0 0
1.84 -0.42 1.20 0.5 -0.82 0.19 -0.54 -0.95 0.31 -0.02 0 0
-1.73 -2.09 -2.74 0.5 0.45 0.54 0.71 0.07 -0.84 -0.54 0 1
-1.20 -1.70 0.19 0.5 0.57 0.81 -0.09 -0.49 -0.30 -0.82 0 1
0.31 -2.10 0.37 0.5 -0.14 0.97 -0.17 0.30 0.75 -0.59 0 0
-2.84 0.48 -1.49 0.5 0.88 -0.15 0.46 -0.60 -0.45 0.66 0 0
0.65 0.57 0.91 0.5 -0.52 -0.45 -0.73 0.70 0.21 0.68 0 1
-0.29 0.32 -1.35 0.5 0.20 -0.23 0.95 -0.81 0.55 -0.23 0 0
1.05 1.78 2.77 0.5 -0.30 -0.52 -0.80 -0.42 0.51 -0.75 0 1
-0.62 3.30 -0.11 0.5 0.18 -0.98 0.03 0.62 0.54 -0.57 0 0
-0.82 -1.91 0.51 0.5 0.38 0.89 -0.24 -0.13 0.50 -0.86 0 0
-0.49 0.91 -0.66 0.5 0.40 -0.74 0.54 0.64 -0.33 -0.69 0 1
1.05 -0.69 -1.87 0.5 -0.47 0.30 0.83 -0.95 -0.29 0.11 0 0
2.87 -2.34 -0.60 0.5 -0.77 0.62 0.16 -0.39 0.63 -0.67 0 1
-0.32 1.29 1.24 0.5 0.17 -0.71 -0.68 0.73 -0.61 0.31 0 1
1.11 0.91 3.11 0.5 -0.32 -0.27 -0.91 0.23 0.90 0.37 0 0
-0.53 -0.14 1.77 0.5 0.29 0.08 -0.95 0.69 0.10 0.72 0 0
-2.00 1.81 2.35 0.5 0.56 -0.51 -0.66 0.65 -0.44 0.62 0 1
-0.76 -0.46 1.81 0.5 0.38 0.23 -0.90 -0.51 -0.57 0.64 0 1
-0.58 0.53 1.01 0.5 0.45 -0.42 -0.79 0.51 -0.80 0.30 0 0
-1.04 -0.85 1.76 0.5 0.47 0.38 -0.80 0.48 -0.82 -0.32 0 0
0.55 -2.15 1.02 0.5 -0.23 0.88 -0.42 0.58 0.45 0.68 0 0
-0.48 -1.53 -2.69 0.5 0.15 0.49 0.86 0.70 0.71 -0.10 0 0
-0.41 0.21 1.83 0.5 0.22 -0.11 -0.97 -0.75 0.65 0.10 0 1
-2.65 -0.77 -0.65 0.5 0.93 0.27 0.23 0.74 -0.64 -0.18 0 0
-2.65 0.23 -0.69 0.5 0.96 -0.08 0.25 0.56 -0.36 0.75 0 0
0.59 -1.01 -0.37 0.5 -0.48 0.82 0.30 -0.80 0.59 -0.07 0 1
